Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
SUD15_Cannabis15:SCZ15_Special_powers15,0.0156,0.0073,0.0211,0.764,0.475,0.601,0.18931263989614622,0.6791739554272294,0,5,0,
SUD15_Alcohol15:SEX,0.0029,0.0017,0.0038,0.772,0.479,0.623,0.12849447698672112,0.6490425655368022,0,5,0,
ACE18_hate_crime18,-0.0269,0.017,0.0348,-0.763,0.483,0.449,0.21426377516061335,0.9118006668867396,0,5,0,
SUD15_Snuff15,0.0123,0.0133,0.0204,0.592,0.486,0.506,0.1731603041808445,0.7140288463096454,0,5,0,
SUD15_Cigarettes15:ACE15_bullied_often15,0.0026,0.0025,0.0036,0.724,0.487,0.531,0.14093386611319092,0.8651610923795396,0,5,0,
SUD15_Cannabis15:SCZ15_easily_scared15,-0.0052,0.0076,0.0102,-0.501,0.489,0.463,0.18450992911083475,0.9945451779444838,0,5,0,
PRS_Deep_layer_intratelencepha,-0.0156,0.0091,0.0209,-0.745,0.49,0.599,0.14705963797261945,0.6908934118785133,0,5,0,
SCZ15_Special_powers15,0.0048,0.0037,0.006,0.796,0.491,0.371,0.1194203852432516,0.8870540278813677,0,5,0,
SUD15_Painkillers_opioids15:SCZ15_Hear_voices15,0.0019,0.0095,0.009,0.163,0.498,0.553,0.08157886169630402,0.7922542874020115,0,5,0,
PRS_Thalamic_excitatory,0.0125,0.0092,0.0174,0.72,0.499,0.426,0.16306358967153578,0.960316310336544,0,5,0,
SUD15_Cigarettes15:ADHD9_difficulty_calm9,-0.0065,0.0048,0.0086,-0.765,0.501,0.434,0.10896734848670997,0.8309340152761622,0,5,0,
PRS_Amygdala_excitatory,-0.0149,0.0113,0.0201,-0.74,0.505,0.478,0.18249235552901855,0.9864343514664657,0,5,0,
SUD15_Cigarettes15:SEX,-0.0022,0.005,0.0064,-0.345,0.507,0.492,0.23992769178178008,0.8274503215790976,0,5,0,
ADHD9_fail_close_attention9,0.0043,0.0037,0.0054,0.8,0.508,0.641,0.10509815042248993,0.9218863649734674,0,5,0,
SUD15_Snuff15:ASD9_difficulty_converse9,-0.0013,0.0501,0.0395,0.168,0.51,0.538,0.016488135833403472,0.9543780047292911,1,5,20,
SUD15_Cigarettes15:SCZ15_worry15,0.0015,0.0023,0.003,0.511,0.514,0.597,0.14646052347012128,0.8920046455410713,0,5,0,
ACE18_other_abuse18,0.0287,0.1496,0.1194,0.384,0.52,0.594,0.003317830533689836,0.9044609503847287,1,5,20,
SUD15_Cannabis15:ASD9_own_terms9,0.0167,0.012,0.0231,0.674,0.521,0.47,0.2624788904671931,0.7649728141262631,0,5,0,
ACE15_bullying_by_num15,-0.0024,0.0012,0.0036,-0.669,0.523,0.481,0.25989954582197483,0.7604858731191992,0,5,0,
SUD15_Cannabis15:SES_education_father,-0.004,0.0023,0.0058,-0.668,0.527,0.489,0.2519295491424618,0.9437010334295737,0,5,0,
