Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
SUD15_Cannabis15:SES_education_father,0.0109,0.0054,0.0101,1.071,0.33,0.278,0.07077566711446903,0.628859905967575,0,5,0,
ADHD9_easily_bored9,-0.0069,0.0074,0.0076,-0.901,0.331,0.307,0.030623449558317306,0.5858708637411254,1,5,20,
SUD15_OtherDrugs15:SCZ15_Too_much_energy15,-0.0134,0.01,0.0103,-1.286,0.339,0.18,0.010044669214379853,0.8481879836020094,1,5,20,
SUD15_Cannabis15:ADHD9_difficulty_following_instructions9,0.0355,0.0091,0.0369,0.962,0.347,0.319,0.2168907524674899,0.5568798877964825,0,5,0,
SUD15_OtherDrugs15:ADHD9_avoid_mental_effort_tasks9,0.0221,0.0079,0.0226,0.976,0.351,0.254,0.1946701850676682,0.6369012674844692,0,5,0,
SUD15_Snuff15:ADHD9_often_motor9,-0.015,0.0087,0.0144,-1.063,0.354,0.307,0.061717846440223934,0.8778866754221477,0,5,0,
SUD15_OtherDrugs15:SCZ15_Read_others_minds15,0.0127,0.0087,0.0111,1.129,0.358,0.298,0.05318437911672458,0.9995176830962509,0,5,0,
SUD15_Painkillers_opioids15:SES_birth_country_mother,-0.0073,0.0169,0.0168,-0.492,0.359,0.379,0.16349553135345518,0.6084323282616151,0,5,0,
SUD15_OtherDrugs15:ADHD9_often_run9,-0.0255,0.0171,0.0231,-1.099,0.36,0.346,0.027138549890235897,0.8428515464066599,1,5,20,
SUD15_Cannabis15:ADHD9_often_blurt_out9,-0.0223,0.027,0.0332,-0.656,0.36,0.356,0.14627157709165228,0.47915568982823764,0,5,0,
SCZ15_Others_Read_thoughts15,0.005,0.0027,0.0051,0.987,0.375,0.408,0.08141818201190665,0.6221808245954694,0,5,0,
ASD9_difficulty_pretend_play9,-0.0154,0.0078,0.0159,-0.96,0.379,0.334,0.13681716086764473,0.6339625688308017,0,5,0,
ASD9_difficulty_on_track9,0.0062,0.0086,0.0112,0.556,0.39,0.393,0.27840298628889215,0.5137544454828489,0,5,0,
SUD15_Snuff15:SCZ15_Extreme_excitement15,-0.0043,0.0034,0.0055,-0.82,0.397,0.348,0.1211316398798512,0.8076477619200251,0,5,0,
ADHD9_often_run9,-0.0088,0.0055,0.0094,-0.925,0.413,0.382,0.0826909861091536,0.7254041274505822,0,5,0,
